SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE,
IAU,20250409,BUY,58.2692,3006,0,Stock,
IAU,20250421,BUY,64.57977,387,0,Stock,
IAU,20250501,BUY,61.09,76,0,Stock,
IAU,20250617,BUY,63.94347,594,0,Stock,
IAU,20250623,BUY,63.87797,222,0,Stock,
IAU,20250625,BUY,62.95899,277,0,Stock,
IAU,20250806,BUY,63.62131,313,0,Stock,
IAU,20250813,BUY,63.46266,94,0,Stock,
IAU,20250821,BUY,63.12333,162,0,Stock,
IAU,20251003,BUY,73.11378,410,0,Stock,
IAU,20251021,BUY,77.5424,622,0,Stock,
IAU,20251113,BUY,79.325,200,0,Stock,
IAU,20251218,BUY,81.60242,615,0,Stock,
IAU,20251229,BUY,81.49914,407,0,Stock,
IAU,20260116,BUY,87.03908,98,0,Stock,
IAU,20260204,SELL,92.64893,487,0,Stock,
IAU,20260603,SELL,83.2881982,111,0,Stock,
IAU,20260611,SELL,76.8084162,6885,0,Stock,
,,,,,,,
,,,,,,,
