SYMB,ED,TRAN,ANUM,BNUM,CNUM,BONDCOUP,BONDFREQ,BONDMAT,CURRENCY,INCOME STYLE
FGN 2035 Bond,20250207,BUY,103.1218785,12000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2031 Bond,20250207,BUY,98.55994565,7000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250210,BUY,98.75076087,7000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250227,BUY,97.75037983,7000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250226,BUY,97.52927486,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2035 Bond,20250226,BUY,111.5680663,5000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2035 Bond,20250225,BUY,111.7356354,8000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2033 bond,20250303,BUY,111.6377831,5000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2031 bond,20250303,BUY,98.75104972,20000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 bond,20250303,BUY,100.8947997,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2035 Bond,20250304,BUY,120.9364019,5000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2037 bond,20250306,BUY,96.55906896,10000000,0,16.25%,6,18-04-37,NGN,Bond Interest
FGN 2033 bond,20250306,BUY,111.5288674,10000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2033 bond,20250312,BUY,110.9985359,12000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2033 bond,20250325,BUY,107.0028177,20000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2033 bond,20250324,BUY,106.7578729,10000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2033 bond,20250407,BUY,108.3908494,8000000,0,19.89%,6,15-05-33,NGN,Bond Interest
FGN 2031 Bond,20250408,BUY,98.46082873,7000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2035 Bond,20250508,SELL,118.680663,10000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2035 Bond,20250508,SELL,118.640663,5000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2035 Bond,20250508,SELL,118.486913,15000000,0,22.60%,6,29-01-35,NGN,Bond Interest
FGN 2031 Bond,20250520,SELL,99.11348757,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250520,SELL,99.11348757,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250520,SELL,99.01348757,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2037 bond,20250520,SELL,86.06700628,10000000,0,16.25%,6,18-04-37,NGN,Bond Interest
FGN 2031 Bond,20250521,SELL,99.22459254,8000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250521,SELL,99.38459254,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250521,SELL,99.38459254,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2031 Bond,20250521,SELL,99.38459254,10000000,0,18.50%,6,21-02-31,NGN,Bond Interest
FGN 2033 bond,20250626,SELL,108.382988,10000000,0,19.89%,6,15-05-33,NGN,Bond Interest
