SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE
AAPL,20230216,BUY,153.4313,484,0,Stock
BITO,20230216,BUY,15.26,5000,0,Stock
MSFT,20230216,BUY,264.0527,275,0,Stock
AAPL,20230320,BUY,156.0226,450,0,Stock
BITO,20230320,BUY,17.1295,4000,0,Stock
MSFT,20230320,BUY,271.16,250,0,Stock
TQQQ,20230607,BUY,17.57853,21000,0,Stock
VIXY,20230607,BUY,118.2,1065,0,Stock
AAPL,20230621,SELL,183.6084,486,0,Stock
MSFT,20230621,SELL,332.9997,152,0,Stock
TQQQ,20230621,SELL,19.43984,21000,0,Stock
VIXY,20230621,SELL,106.7991,1065,0,Stock
ABR,20230726,BUY,16.39,3000,0,Stock
AGNC,20230726,BUY,10.52929,7000,0,Stock
COPX,20230726,BUY,40.58797,1300,0,Stock
OXY,20230726,BUY,62.7694,1000,0,Stock
SSO,20230726,BUY,30.445,16400,0,Stock
ABR,20231027,SELL,12.6901,3000,0,Stock
AGNC,20231027,SELL,7.079943,7000,0,Stock
COPX,20231027,SELL,33.87232,1300,0,Stock
OXY,20231027,SELL,62.25,1000,0,Stock
SSO,20231027,SELL,24.76497,16400,0,Stock
BITX,20231030,BUY,17.15692,35500,0,Stock
BITX,20231207,BUY,25.32,10000,0,Stock
BITX,20231208,BUY,25.94868,9641,0,Stock
GGLL,20231208,BUY,30.5995,8140,0,Stock
MSFU,20231208,BUY,39.43327,6342,0,Stock
BITX,20240110,BUY,27.1642,18500,0,Stock
BITX,20240112,BUY,24.2317,16750,0,Stock
BITX,20240112,BUY,23.58587,21200,0,Stock
BITX,20240117,BUY,22.22651,22250,0,Stock
AAPL,20240212,BUY,187.8668,186,0,Stock
BITO,20240212,SELL,22.96992,9000,0,Stock
GGLL,20240212,SELL,34.34223,1015,0,Stock
MSFT,20240212,SELL,417.9059,373,0,Stock
MSFU,20240212,BUY,46.06791,3350,0,Stock
BITX,20240213,BUY,29.12609,10350,0,Stock
SSO,20240213,BUY,34.91485,5740,0,Stock
BITX,20240220,BUY,52.97,1,0,Stock
BITX,20240220,BUY,33.02742,9091,0,Stock
BITX,20240228,BUY,42.46468,9430,0,Stock
BITX,20240228,BUY,43.73311,9200,0,Stock
BITX,20240229,SELL,43.81575,15000,0,Stock
BITX,20240229,SELL,43.87023,15000,0,Stock
BITX,20240229,SELL,43.86965,15000,0,Stock
BITX,20240229,SELL,43.93275,15000,0,Stock
BITX,20240229,SELL,43.90249,15000,0,Stock
BITX,20240229,SELL,43.93135,20000,0,Stock
BITX,20240229,SELL,43.94842,20000,0,Stock
BITX,20240229,SELL,43.93162,20000,0,Stock
BITX,20240229,SELL,43.92762,20000,0,Stock
BITX,20240229,SELL,43.94134,16913,0,Stock
BITX,20240304,BUY,49.93858,20000,0,Stock
BITX,20240304,BUY,50.11,20000,0,Stock
BITX,20240304,BUY,50.37153,20000,0,Stock
BITX,20240304,BUY,50.22,20000,0,Stock
BITX,20240304,BUY,50.12533,20000,0,Stock
GGLL,20240304,SELL,29.11977,7125,0,Stock
SSO,20240304,BUY,37.26985,5378,0,Stock
BITX,20240308,BUY,52.67,15000,0,Stock
BITX,20240308,BUY,52.72824,15000,0,Stock
BITX,20240308,BUY,52.86433,15000,0,Stock
BITX,20240308,BUY,51.26983,10000,0,Stock
COIN,20240308,BUY,262.31,100,0,Stock
EETH,20240308,BUY,89.92,100,0,Stock
MARA,20240308,BUY,24.52966,1000,0,Stock
RIOT,20240308,BUY,12.769,1000,0,Stock
TNA,20240308,BUY,42.979,100,0,Stock
URTY,20240308,BUY,50.3864,100,0,Stock
UWM,20240308,BUY,40.74,100,0,Stock
XMMO,20240308,BUY,114.17,1000,0,Stock
XMTR,20240308,BUY,18.4261,1000,0,Stock
SMH,20240321,BUY,229.6285,500,0,Stock
SOXL,20240321,BUY,48.4598,2000,0,Stock
XMMO,20240321,BUY,114.8605,2000,0,Stock
XMTR,20240321,SELL,18.42305,1000,0,Stock
BITX,20240416,SELL,40.25781,20000,0,Stock
BITX,20240416,SELL,40.19993,20000,0,Stock
BITX,20240416,SELL,40.13731,20000,0,Stock
BITX,20240416,SELL,40.04644,20000,0,Stock
BITX,20240416,SELL,39.78503,20000,0,Stock
BITX,20240416,SELL,39.79763,20000,0,Stock
BITX,20240416,SELL,39.73916,20000,0,Stock
BITX,20240418,BUY,40.07874,20000,0,Stock
BITX,20240418,BUY,41.56107,10000,0,Stock
BITX,20240418,BUY,40.02,10000,0,Stock
BITX Call1,20240418,BUY,781.2769,200,0,Stock
BITX Call2,20240418,BUY,1001.277,10,0,Stock
BITX,20240422,BUY,44.32,20000,0,Stock
BITX,20240422,BUY,44.07,10000,0,Stock
BITX,20240422,BUY,44.52,10000,0,Stock
SOXL,20240422,BUY,31.82,1000,0,Stock
SOXL,20240422,BUY,31.02,1000,0,Stock
BITX,20240423,SELL,44.75459,20000,0,Stock
BITX,20240424,BUY,42.7498,5000,0,Stock
BITX,20240424,BUY,42.82,5000,0,Stock
BITX,20240424,BUY,42.72,5000,0,Stock
BITX,20240424,BUY,42.62,5000,0,Stock
BITX,20240424,BUY,42.41,5000,0,Stock
AAPL,20240501,SELL,169.6491,634,0,Stock
BITX,20240501,SELL,32.58056,20000,0,Stock
BITX,20240501,SELL,32.55465,20000,0,Stock
BITX,20240501,SELL,32.52986,20000,0,Stock
BITX,20240501,SELL,32.70701,20000,0,Stock
BITX,20240501,SELL,33.44477,20000,0,Stock
BITX,20240501,BUY,33.2119,20000,0,Stock
BITX,20240501,BUY,33.2498,20000,0,Stock
BITX,20240501,BUY,33.3393,20000,0,Stock
BITX,20240501,BUY,33.60395,20000,0,Stock
BITX,20240501,BUY,33.6118,20000,0,Stock
BITX,20240501,BUY,33.71735,20000,0,Stock
COIN,20240501,SELL,203.1543,100,0,Stock
EETH,20240501,SELL,62.2573,100,0,Stock
MARA,20240501,SELL,15.87015,1000,0,Stock
MSFU,20240501,BUY,39.99355,20000,0,Stock
RIOT,20240501,SELL,10.08001,1000,0,Stock
SMH,20240501,SELL,211.7726,500,0,Stock
SSO,20240501,SELL,35.23098,11118,0,Stock
TNA,20240501,SELL,33.7707,100,0,Stock
URTY,20240501,SELL,39.8816,100,0,Stock
BITX,20240503,SELL,37.8797,20000,0,Stock
BITX,20240503,SELL,37.88724,20000,0,Stock
BITX,20240503,SELL,37.83739,20000,0,Stock
BITX,20240503,SELL,37.84927,20000,0,Stock
BITX,20240506,SELL,39.59796,20000,0,Stock
SPMO,20240506,BUY,78.79,10000,0,Stock
XMMO,20240506,BUY,113.9086,8000,0,Stock
BITX,20240508,BUY,38.42915,20000,0,Stock
SOXL,20240508,BUY,39.68947,10000,0,Stock
SOXL,20240508,BUY,39.12511,10000,0,Stock
TSLS,20240508,BUY,24.3,10000,0,Stock
UWM,20240516,SELL,39.3396,100,0,Stock
BITX,20240517,BUY,43.17865,10000,0,Stock
YINN,20240517,BUY,32.57031,10000,0,Stock
INDL,20240605,BUY,63.5037,1000,0,Stock
SPMO,20240605,BUY,83.27195,10000,0,Stock
SPMO,20240605,BUY,83.367,5000,0,Stock
XMMO,20240605,SELL,112.6007,5000,0,Stock
XMMO,20240605,SELL,112.6178,6000,0,Stock
BITX,20240612,SELL,45.17382,15000,0,Stock
GGLL,20240612,BUY,45.12133,7000,0,Stock
METU,20240612,BUY,28.49434,15000,0,Stock
BITX,20240613,SELL,40.56921,20000,0,Stock
TSLS,20240613,SELL,22.87936,10000,0,Stock
BITX,20240614,SELL,39.6389,15000,0,Stock
SCC,20240614,BUY,31.17258,15500,0,Stock
SOXL,20240614,SELL,59.66867,7000,0,Stock
TSLZ,20240614,BUY,612.6,1000,0,Stock
YINN,20240614,SELL,23.2398,10000,0,Stock
BITX Call1,20240617,SELL,0,200,0,Stock
BITX Call2,20240617,SELL,298.714,10,0,Stock
GGLL,20240617,SELL,45.55085,7000,0,Stock
INDL,20240617,SELL,68.93928,1000,0,Stock
METU,20240617,SELL,27.33397,5000,0,Stock
METU,20240617,SELL,28.3558,10000,0,Stock
MSFU,20240617,SELL,49.23341,14691,0,Stock
MSFU,20240617,SELL,49.32863,15000,0,Stock
SOXL,20240617,SELL,59.47835,8000,0,Stock
SOXL,20240617,SELL,59.53872,9000,0,Stock
SPMO,20240617,SELL,87.55757,10000,0,Stock
HYGH,20240618,BUY,105.07,1,0,Stock
HYGH,20240618,BUY,84.72,1397,0,Stock
IDRV,20240618,BUY,31,8,0,Stock
IDRV,20240618,BUY,28.71,5000,0,Stock
IDRV,20240618,BUY,28.84,4992,0,Stock
SCC,20240618,SELL,30.15258,300.5,0,Stock
SCC,20240618,SELL,30.06056,250,0,Stock
SCC,20240618,SELL,29.94109,101,0,Stock
SMH,20240618,BUY,276.6985,1000,0,Stock
SOXL,20240618,BUY,66.08883,12000,0,Stock
SOXL,20240618,BUY,66.02,12000,0,Stock
SPMO,20240618,BUY,88.57,10000,0,Stock
SPMO,20240618,BUY,88.42,10000,0,Stock
SPXS,20240618,BUY,78.7,6000,0,Stock
SPXS,20240618,BUY,78.6,6000,0,Stock
TSLZ,20240618,SELL,568.7982,350,0,Stock
JPST,20240620,BUY,50.43995,10000,0,Stock
SCC,20240620,SELL,30.11916,6787.5,0,Stock
SOXL,20240620,SELL,63.46219,15000,0,Stock
SOXL,20240620,SELL,62.39309,9000,0,Stock
SPMO,20240620,SELL,87.78771,10000,0,Stock
SPMO,20240620,SELL,87.79017,10000,0,Stock
SPMO,20240620,SELL,87.97548,10000,0,Stock
SPXS,20240620,SELL,78.45828,12000,0,Stock
TSLZ,20240620,SELL,588.6667,650,0,Stock
HYGH,20240621,BUY,85.22407,10000,0,Stock
HYGH,20240621,BUY,85.17,10000,0,Stock
HYGH,20240621,BUY,85.17,10000,0,Stock
HYGH,20240621,BUY,85.14,10000,0,Stock
HYGH,20240621,BUY,85.12,3700,0,Stock
HYGH,20240621,BUY,85.07857,700,0,Stock
JPST,20240621,BUY,50.45818,18000,0,Stock
JPST,20240621,BUY,50.44571,18000,0,Stock
SCC,20240621,SELL,29.79917,8061,0,Stock
SMH,20240621,SELL,265.0661,1000,0,Stock
SPMO,20240621,SELL,87.22841,5000,0,Stock
HYGH,20240624,BUY,85.18,10000,0,Stock
HYGH,20240624,BUY,85.15,10000,0,Stock
HYGH,20240624,BUY,85.12,10000,0,Stock
HYGH,20240624,BUY,85.1,400,0,Stock
JPST,20240624,BUY,50.46,2410,0,Stock
IDRV,20240627,SELL,28.8464,10000,0,Stock
HYGH,20240628,BUY,85.17,10000,0,Stock
HYGH,20240628,BUY,85.15,10000,0,Stock
JPST,20240702,SELL,50.2586,17000,0,Stock
JPST,20240702,SELL,50.2586,17000,0,Stock
JPST,20240702,SELL,50.2586,14410,0,Stock
SBIT,20240709,BUY,244.4273,1000,0,Stock
EWT,20240716,BUY,56.2397,2000,0,Stock
SBIT,20240716,SELL,187.9948,1000,0,Stock
SVIX,20240716,BUY,50.05829,2000,0,Stock
SVIX,20240717,SELL,47.49298,2000,0,Stock
AAPU,20240726,BUY,34.32991,10000,0,Stock
AMZU,20240726,BUY,32.35987,10000,0,Stock
