Direction,Name of Asset,Coupon Rate,Maturity Date,Trade Date,Settlement Date,Ytm,Price,Face Value,Consideration,Principal ,Accrued Interest
Sell,NGERIA 7.696 02/23/38,0.07696,2038-02-23,2024-09-19,2024-09-20,0.10303390095958112,81.25,400000,327308.8,325000.0,2308.7999999999997
Sell,SEPLAT 7.75 01/04/26 ,0.0775,2026-04-01,2024-10-10,2024-10-16,0.07967709162906365,99.7,450000,450103.125,448650.0,1453.125
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2024-10-18,2024-10-22,0.11100067438603826,85.67,600000,539645.0,514020.0,25625.0
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2024-10-28,2024-10-30,0.11055330338844868,83.7,600000,525620.8333333334,502200.0,23420.833333333332
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2024-10-28,2024-10-30,0.11020908017257983,83.95,400000,351413.8888888889,335800.0,15613.888888888889
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2024-11-20,2024-11-25,0.11390666887850237,83.61,545000,478382.83,455674.5,2412.7604166666665
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2024-11-29,2024-12-03,0.11334855479479528,84.0,1135000,1003056.25,953400.0,7389.322916666667
Sell,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-02-20,2025-02-24,0.11399256026544623,81.3,1000000,835305.5555555555,813000.0,22305.555555555555
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2025-02-20,2025-02-24,0.1146290313457587,83.125,2280000,1936218.75,1895250.0,62937.5
Sell,ACCESS 9 1/8 PERP,0.09125,2026-07-07,2025-02-20,2025-02-24,0.08323205756930944,101.0,291000,297376.7395833333,293910.0,3466.7395833333335
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-06-27,2025-07-01,0.12018365227885404,77.3,1200000,938245.8333333334,927600.0,10645.833333333334
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-06-30,2025-07-02,0.11988148447298592,77.49,1500000,1176037.4999999998,1162349.9999999998,13687.5
Sell,NGERIA 10.375 12/09/34 ,0.10375,2034-12-09,2025-07-14,2025-07-16,0.09545873465307343,105.05,750000,795872.3958333334,787875.0,7997.395833333333
Sell,KENINT 9 1/2 03/05/36,0.095,2036-03-05,2025-07-15,2025-07-17,0.10668490097459601,92.65,5000000,4806666.666666667,4632500.0,174166.66666666666
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-16,2025-07-18,0.11502977205974005,87.3,5000000,4479236.111111111,4365000.0,114236.11111111112
Sell,NGERIA 10.375 12/09/34 ,0.10375,2034-12-09,2025-07-15,2025-07-18,0.0951385442297189,105.25,1000000,1063739.5833333333,1052500.0,11239.583333333334
Sell,NGERIA 10.375 12/09/34 ,0.10375,2034-12-09,2025-07-16,2025-07-18,0.09680660884662026,104.2,2000000,2106479.1666666665,2084000.0,
Sell,KENINT 9 1/2 03/05/36,0.095,2036-03-05,2025-07-16,2025-07-21,0.10770757926080406,92.05,1000000,956388.8888888889,920500.0,
Sell,KENINT 9 1/2 03/05/36,0.095,2036-03-05,2025-07-16,2025-07-22,0.10779497296873697,92.0,2000000,1912305.5555555555,1840000.0,
Sell,ANGOL 8 1/4 05/09/28,0.0825,2028-05-09,2025-07-15,2025-07-17,0.10551356525007144,94.5,1500000,1428500.0,1417500.0,
Sell,ANGOL 8 1/4 05/09/28,0.0825,2028-05-09,2025-07-15,2025-07-18,0.1066235997435835,94.25,1000000,950062.5,942500.0,
Sell,NGERIA 7.875 02/16/32,0.07875,2032-02-16,2025-07-14,2025-07-18,0.08840448975795627,95.25,1000000,985750.0,952500.0,
Buy,NIGERIA 8.250 9/28/51,0.0825,2051-09-28,2025-07-14,2025-07-18,0.10016903396655794,83.7,2600000,2241741.6666666665,2176200.0,
Sell,NGERIA 8.747 01/21/31,0.08746999999999999,2031-01-21,2025-07-14,2025-07-18,0.08596038972434299,100.65,1100000,1154456.6916666667,1107150.0,
Sell,NGERIA 8 3/8 3/24/29,0.08375,2029-03-24,2025-07-14,2025-07-18,0.0810367781580033,100.83,4100000,4242765.416666667,4134030.0,
Sell,NGERIA 10.375 12/09/34 ,0.10375,2034-12-09,2025-07-16,2025-07-18,0.09680660884662026,104.2,750000,789929.6875,781500.0,
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-16,2025-07-22,0.11482636889866375,87.4,5000000,4489097.222222222,4370000.0,
Sell,ANGOL 8 1/4 05/09/28,0.0825,2028-05-09,2025-07-16,2025-07-21,0.10888334374824717,93.75,3000000,2837250.0,2812500.0,
Sell,ANGOL 8 1/4 05/09/28,0.0825,2028-05-09,2025-07-16,2025-07-21,0.10888334374824717,93.75,2400000,2269800.0,2250000.0,
Sell,ACCESS 9 1/8 PERP,0.09125,2026-07-07,2025-07-15,2025-07-21,0.10150343517005071,99.075,500000,497149.30555555556,495375.0,
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-17,2025-07-21,0.11487720280594348,87.375,2000000,1794652.7777777778,,
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-17,2025-07-22,0.11515829463753958,87.26,700000,627493.61,,
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-17,2025-07-22,0.11482636889866375,87.4,2000000,1795638.89,,
Sell,ANGOL 8.75 04/14/2032,0.0875,2032-04-14,2025-07-17,2025-07-22,0.115182029688591,87.25,2000000,1792638.89,,
Sell,KENINT 9 1/2 03/05/36,0.095,2036-03-05,2025-07-17,2025-07-22,0.10594231965103475,93.1,1950000,1885947.92,,
Sell,NIGERIA 8.250 9/28/51,0.0825,2051-09-28,2025-07-21,2025-07-22,0.10010855028844051,83.75,2600000,2245425.0,2177500.0,
Sell,NIGERIA 8.250 9/28/51,0.0825,2051-09-28,2025-07-21,2025-07-22,0.10010855028844051,83.75,2600000,2245425.0,2177500.0,
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2025-07-17,2025-07-21,0.12251284772840519,78.05,3000000,2369625.0,,
Sell,ANGOL 9.375% 05/08/48,0.09375,2048-08-05,2025-07-22,2025-07-24,0.11978288750540703,79.75,1000000,807656.25,797500.0,
Sell,ANGOL 9.375% 05/08/48,0.09375,2048-08-05,2025-07-23,2025-07-25,0.1193957366647739,80.0,1000000,810416.67,800000.0,
Sell,ANGOL 9.375% 05/08/48,0.09375,2048-08-05,2025-07-23,2025-07-25,0.1193957366647739,80.0,1000000,810416.67,800000.0,
Sell,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-07-24,2025-07-25,0.11904906211494423,78.02,2000000,1590309.72,,
Sell,ANGOL 9.375% 05/08/48,0.09375,2048-08-05,2025-07-17,2025-07-23,0.12256401099671053,78.0,3000000,2369687.5,,
Buy,SEPLAT 9.125 03/21/30,0.09125,2030-03-21,2025-07-29,2025-07-31,0.08791136496132476,101.23,1000000,1044997.92,,
Buy,ETI 10.125% 10/15/2029,0.10125,2029-10-15,2025-07-30,2025-08-01,0.08429601580353492,105.875,500000,544281.25,,
Sell,SEPLAT 9.125 03/21/30,0.09125,2030-03-21,2025-08-04,2025-08-06,0.08448113116593228,102.53,1000000,1059518.75,,
Buy,EGYPT 8.7002 03/01/49,0.08700200000000001,2049-03-01,2025-08-22,2025-08-26,0.10226798777023613,86.5,500000,453646.31944444444,432500.0,21146.31944444445
Buy,SEPLLN 9 1/8 03/21/30,0.09125,2030-03-21,2025-08-22,2025-08-26,0.08058377718368548,104.0,1000000,1079288.1944444445,1040000.0,39288.194444444445
Buy,SEPLLN 9 1/8 03/21/30,0.09125,2030-03-21,2025-08-22,2025-08-26,0.08058377718368548,104.0,500000,539644.0972222222,520000.0,19644.097222222223
Buy,SEPLLN 9 1/8 03/21/30,0.09125,2030-03-21,2025-08-22,2025-08-26,0.08058377718368548,104.0,500000,539644.0972222222,520000.0,19644.097222222223
