"$id","Id","Symbol","PrevClosingPrice","OpeningPrice","HighPrice","LowPrice","ClosePrice","Change","PercChange","Trades","Volume","Value","Market","Sector"
"1","45","ADBB2021S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","SUPRA-NATIONAL BONDS"
"2","5","AXA2027S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"3","39","BAU2021S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"4","12","BUA2027S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"5","9","CIL2028S2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"6","11","DAN2028S1TC","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"7","40","EKI2020S2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"8","13","FBQ2030S2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"9","21","FG112034S2","73.100000","73.100000",,,"73.100000",,,"0",,,"Debt","FGN BONDS"
"10","22","FG132036S2","109.700000","109.700000",,,"109.700000",,,"0",,,"Debt","FGN BONDS"
"11","23","FG142027S1","67.518100","67.518100",,,"67.518100",,,"0",,,"Debt","FGN BONDS"
"12","24","FG142037S2","95.500000","95.500000",,,"95.500000",,,"0",,,"Debt","FGN BONDS"
"13","25","FG152028S1","100.000100","100.000100",,,"100.000100",,,"0",,,"Debt","FGN BONDS"
"14","26","FG162029S1","108.999900","108.999900",,,"108.999900",,,"0",,,"Debt","FGN BONDS"
"15","27","FG162049S2","104.999900","104.999900",,,"104.999900",,,"0",,,"Debt","FGN BONDS"
"16","28","FG172035S1","106.320000","106.320000",,,"106.320000",,,"0",,,"Debt","FGN BONDS"
"17","30","FG172045S3","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN BONDS"
"18","29","FG172050S2","104.999700","104.999700",,,"104.999700",,,"0",,,"Debt","FGN BONDS"
"19","17","FG5B2028S5","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN BONDS"
"20","18","FG6B2029S3","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN BONDS"
"21","19","FG6B2029S5","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN BONDS"
"22","20","FG7B2030S3","70.500100","70.500100",,,"70.500100",,,"0",,,"Debt","FGN BONDS"
"23","32","FGEUR2027S2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"24","33","FGEUR2030S8","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"25","34","FGEUR2031S6","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"26","35","FGEUR2032S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"27","36","FGEUR2038S7","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"28","37","FGEUR2047S3","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"29","38","FGEUR2049S4","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","FGN EURO BONDS"
"30","31","FGS202139","85.000000","85.000000",,,"85.000000",,,"0",,,"Debt","FGN SAVINGS BONDS"
"31","16","FGSUK2027S3","96.000000","96.000000",,,"96.000000",,,"0",,,"NON-INTEREST FINANCE BOARD","FGN SUKUK BONDS"
"32","14","FID2031S1","69.230000","69.230000",,,"69.230000",,,"0",,,"Debt","CORPORATE BONDS"
"33","4","IAO2026S1","97.290000","97.290000",,,"97.290000",,,"0",,,"Debt","CORPORATE BONDS"
"34","41","LAB2027T2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"35","42","LAB2027T4","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"36","43","NAB2021S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"37","8","NMR2027S3","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"38","1","NMR2030S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"39","2","NMR2033S2","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"40","7","NOVA2027S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"41","10","NSP2031S2","100.000000","100.000000",,,"100.000000",,,"0",,,"NGX IMPACT BOARD","CORPORATE BONDS"
"42","6","NSP2034S1","100.000000","100.000000",,,"100.000000",,,"0",,,"NGX IMPACT BOARD","GREEN BONDS"
"43","44","ODB2027S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","STATE AND GOVERNMENT BONDS"
"44","15","TSL2030S1","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
"45","3","UBN2029S3","100.000000","100.000000",,,"100.000000",,,"0",,,"Debt","CORPORATE BONDS"
