SYMB,ED,TRAN,ANUM,BNUM,CNUM,MEMO,CURRENCY
,,,,,,Inflow,USD
,,,,,,06/2022 FOREIGN DELIVER Y FEE,USD
,,,,,,07/2022 FOREIGN DELIVER Y FEE,USD
,,,,,,08/2022 FOREIGN DELIVER Y FEE,USD
,,,,,,09/2022 FOREIGN DELIVER Y FEE,USD
,,,,,,10/2022 FOREIGN DELIVER Y FEE,USD
,,,,,,11/2022 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,12/2022 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,01/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,02/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,03/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,04/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,06/21 PAPER CONFIRM FEE - 74347X831,USD
,,,,,,06/21 PAPER CONFIRM FEE - 74347Y854,USD
,,,,,,06/21 PAPER CONFIRM FEE - 37833100,USD
,,,,,,06/21 PAPER CONFIRM FEE - 594918104,USD
,,,,,,05/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,7/26 PAPER CONFIRM FEE - 00123Q104,USD
,,,,,,7/26 PAPER CONFIRM FEE - 38923108,USD
,,,,,,7/26 PAPER CONFIRM FEE - 37954Y830,USD
,,,,,,7/26 PAPER CONFIRM FEE - 674599105,USD
,,,,,,7/26 PAPER CONFIRM FEE - 74347R107,USD
,,,,,,06/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,07/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,08/2023 FOREIGN PAPER S TATEMENT FEE,USD
,,,,,,10/27 PAPER CONFIRM FEE - 00123Q104,USD
,,,,,,10/27 PAPER CONFIRM FEE - 038923108,USD
,,,,,,10/27 PAPER CONFIRM FEE - 74347R107,USD
,,,,,,10/27 PAPER CONFIRM FEE - 674599105,USD
,,,,,,10/27 PAPER CONFIRM FEE - 37954Y830,USD
