SYMB,ED,TRAN,ANUM,BNUM,CNUM,MEMO,CURRENCY
GIFN Cash,20250208,TXIN,1,2130925975,0,Inflow,NGN
GIFN Cash,20250521,TXIN,1,1625000000,0,FX Sale,NGN
GIFN Cash,20250717,TXIN,1,2299500000,0,FX Sale,NGN
GIFN Cash,20250717,TXIN,1,1535000000,0,FX Sale,NGN
GIFN Cash,20250723,TXIN,1,3266355000,0,FX Sale,NGN
GIFN Cash,20250723,TXIN,1,767500000,0,FX Sale,NGN
GIFN Cash,20250731,TXIN,1,2017400000,0,FX Sale,NGN
GIFN Cash,20250731,TXIN,1,1540000000,0,FX Sale,NGN
GIFN Cash,20250917,TXIN,1,2253000000,0,FX Sale,NGN
GIFN Cash,20250919,TXIN,1,3008000000,0,FX Sale,NGN
GIFN Cash,20251003,TXIN,1,2874000000,0,FX Sale,NGN
GIFN Cash,20251024,TXIN,1,1782000000,0,FX Sale,NGN
GIFN Cash,20251106,TXIN,1,728500000,0,FX Sale,NGN
GIFN Cash,20251106,TXIN,1,2910000000,0,FX Sale,NGN
GIFN Cash,20251110,TXIN,1,2920000000,0,FX Sale,NGN
GIFN Cash,20251203,TXIN,1,2936000000,0,FX Sale,NGN
GIFN Cash,20251224,TXIN,1,1460000000,0,FX Sale,NGN
GIFN Cash,20251222,TXIN,1,293600000,0,FX Sale,NGN
GIFN Cash,20251110,TXIN,1,850000000,0,FX Sale,NGN
GIFN Cash,20251114,TXOUT,1,14008563.42,0,Outflow adj (due to NGTB price adj),NGN
GIFN Cash,20260119,TXOUT,1,86700430.06,0,Outflow adj (due to NGTB price adj),NGN
GIFN Cash,20260122,TXOUT,1,16383561.64,0,Outflow adj (due to Coups),NGN
GIFN Cash,20260204,TXIN,1,638738361.9,0,Inflow,NGN
GIFN Cash,20260210,TXIN,1,2175502646,0,Inflow,NGN
GIFN Cash,20260213,TXOUT,1,5739929.78,0,Outflow,NGN
GIFN Cash,20260213,TXOUT,1,2245334.617,0,Outflow,NGN
GIFN Cash,20260216,TXIN,1,285703.42,0,Inflow,NGN
GIFN Cash,20260216,TXIN,1,6614495.27,0,Inflow,NGN
GIFN Cash,20260217,TXIN,1,29999850,0,Inflow,NGN
GIFN Cash,20260218,TXOUT,1,45159283.39,0,Outflow,NGN
GIFN Cash,20260219,TXOUT,1,250,0,Outflow,NGN
GIFN Cash,20260220,TXOUT,1,4785476.64,0,Outflow,NGN
GIFN Cash,20260226,TXIN,1,29288205.36,0,Inflow adj,NGN
GIFN Cash,20260226,TXOUT,1,1237059726,0,Outflow adj (due to Coups),NGN
GIFN Cash,20260227,TXIN,1,54924150.9,0,Inflow,NGN
GIFN Cash,20260302,TXOUT,1,70500053.8,0,Outflow,NGN
GIFN Cash,20260303,TXOUT,1,10000100,0,Outflow,NGN
GIFN Cash,20260304,TXIN,1,1301000000,0,FX Proceeds,NGN
GIFN Cash,20260304,TXOUT,1,81095505.08,0,Outflow,NGN
GIFN Cash,20260306,TXIN,1,82000000,0,FX Proceeds,NGN
GIFN Cash,20260306,TXOUT,1,211151499,0,Outflow,NGN
GIFN Cash,20260309,TXOUT,1,27252398.05,0,Outflow,NGN
GIFN Cash,20260309,TXIN,1,100000,0,Inflow,NGN
GIFN Cash,20260310,TXIN,1,50000053.75,0,Inflow,NGN
GIFN Cash,20260310,TXOUT,1,22196795.36,0,Outflow,NGN
GIFN Cash,20260312,TXOUT,1,10208122.36,0,Outflow,NGN
GIFN Cash,20260312,TXIN,1,7926780.82,0,Inflow,NGN
GIFN Cash,20260313,TXOUT,1,3000100,0,Outflow,NGN
GIFN Cash,20260313,TXOUT,1,1000000,0,Outflow,NGN
GIFN Cash,20260314,TXOUT,1,50,0,Outflow,NGN
GIFN Cash,20260317,TXOUT,1,24500000,0,Outflow,NGN
GIFN Cash,20260317,TXOUT,1,4000000,0,Outflow,NGN
GIFN Cash,20260318,TXIN,1,5000000,0,Internal transfer,NGN
GIFN Cash,20260318,TXOUT,1,240059454.3,0,Outflow,NGN
GIFN Cash,20260318,TXOUT,1,7926834.57,0,Outflow,NGN
GIFN Cash,20260319,TXOUT,1,300,0,Outflow,NGN
GIFN Cash,20260322,TXOUT,1,50,0,Outflow,NGN
GIFN Cash,20260323,TXIN,1,10000000,0,Internal transfer,NGN
GIFN Cash,20260323,TXOUT,1,75000053.75,0,Outflow,NGN
GIFN Cash,20260324,TXOUT,1,50,0,Outflow,NGN
GIFN Cash,20260324,TXOUT,1,65951190.2,0,Outflow adj,NGN
GIFN Cash,20260325,TXOUT,1,47606507.5,0,Outflow,NGN
GIFN Cash,20260325,TXIN,1,25000000,0,Inflow,NGN
GIFN Cash,20260327,TXOUT,1,5969053.48,0,Outflow,NGN
GIFN Cash,20260330,TXOUT,1,176137128.8,0,Outflow,NGN
GIFN Cash,20260331,TXOUT,1,30412621.63,0,Outflow,NGN
GIFN Cash,20260331,TXIN,1,7511.99,0,Interest on call,NGN
GIFN Cash,20260401,TXOUT,1,35695404.51,0,Outflow,NGN
GIFN Cash,20260401,TXOUT,1,4642229.95,0,Outflow,NGN
GIFN Cash,20260402,TXOUT,1,720280846.1,0,Outflow,NGN
GIFN Cash,20260402,TXOUT,1,357720.05,0,Outflow,NGN
GIFN Cash,20260405,TXOUT,1,50,0,Outflow,NGN
GIFN Cash,20260407,TXOUT,1,2092500000,0,Outflow,NGN
GIFN Cash,20260407,TXOUT,1,1405001021,0,Outflow,NGN
GIFN Cash,20260408,TXOUT,1,8978633.87,0,Outflow,NGN
GIFN Cash,20260408,TXOUT,1,1405001021,0,Outflow,NGN
GIFN Cash,20260409,TXOUT,1,562800000,0,Outflow,NGN
GIFN Cash,20260409,TXOUT,1,5991780.82,0,Outflow,NGN
GIFN Cash,20260410,TXOUT,1,5000000,0,Internal transfer,NGN
GIFN Cash,20260410,TXOUT,1,1053751021,0,Fx buy,NGN
GIFN Cash,20260410,TXIN,1,1257723.447,0,Inflow adj,NGN
